,이비카드정류장ID,정류장이름,위도,경도,횟수
199,4108007.0,병점화남아파트,37.21196670000001,127.03755,200.0
685,4108036.0,신영통현대타운.두산위브,37.2354667,127.06246670000002,399.0
1803,4117226.0,수원대학교,37.21375,126.97996670000002,964.0
2400,4170943.0,상록.경남아파트.이주택지,37.2068333,127.1105667,412.0
2642,4170921.0,참누리아파트.기산중학교,37.2195333,127.05165,187.0
3032,4108028.0,성지산업,37.2212667,127.0596833,172.0
3848,4197662.0,반월초등학교,37.2229,127.0618,278.0
4533,4170271.0,병점사거리,37.2083833,127.0344333,431.0
5783,4199077.0,동탄이마트.한림대병원,37.2140333,127.07793329999998,455.0
6291,4195716.0,다은마을(중),37.2004167,127.0673,508.0
6943,4117232.0,반월1통.빅마켓앞,37.22945,127.0649667,625.0
7503,4108035.0,반월리큰고개,37.23255,127.0647833,560.0
7924,4170481.0,한빛마을.석우중학교(중),37.20831670000001,127.06925,421.0
8818,4130127.0,빅마켓앞,37.23045,127.06806670000002,496.0
9044,4170841.0,향남홈플러스,37.1313667,126.92235,183.0
10152,4170976.0,예당마을.롯데캐슬(중),37.2116333,127.0728,632.0
10529,4151651.0,병점역사거리,37.2069167,127.0356333,377.0
11904,4199455.0,한림대병원(중),37.2166333,127.0781167,1375.0
13640,4105628.0,삼성반도체후문,37.2209333,127.07578329999998,1618.0
14473,4197591.0,롯데캐슬.복합문화센터,37.2012333,127.0707667,474.0
15119,4170973.0,메타폴리스(중),37.2037,127.0675,637.0
15496,4100051.0,동부출장소.병점초등학교,37.2088,127.0344333,377.0
15947,4199602.0,나루고등학교,37.188,127.0729,222.0
16572,4170243.0,동탄1동행정복지센터,37.20665,127.0725667,517.0
16831,4116677.0,평생플러스빌,37.2224833,126.97365,188.0
17175,4197608.0,동탄6동복지센터입구,37.1737833,127.0908,217.0
17555,4130131.0,병점역후문,37.2068667,127.0318333,190.0
18269,4121010.0,성원아파트.이지더원,37.2090667,127.1084167,207.0
18580,4199361.0,능동마을입구,37.21755,127.0579,257.0
18976,4120750.0,롯데시네마,37.21425,127.0426333,341.0
21363,4197592.0,IT단지(중),37.2247167,127.0741833,2387.0
21965,4100049.0,홈플러스.벌말초교,37.2033,127.03813329999998,344.0
22767,4120457.0,예당고사거리,37.2091833,127.08181670000002,383.0
23165,4170942.0,반도.모아아파트,37.2019167,127.11415,215.0
23472,4107846.0,동탄역(동측),37.1996167,127.09626670000002,211.0
23978,4116674.0,와우2리,37.2159833,126.9763167,191.0
24162,4117396.0,영통아이파크캐슬2단지.래미안영통마크원1단지,37.2446833,127.0412167,184.0
24831,4117233.0,삼성전자,37.2237333,127.0625833,524.0
25237,4121008.0,이주택지.상록.경남아파트,37.2072167,127.1106833,290.0
25460,4130116.0,상록.테크노밸리.GS자이,37.2083,127.09895,223.0
26452,4121766.0,한미약품.푸르지오,37.2092333,127.09185,392.0
26772,4197467.0,한빛마을(중),37.2075667,127.0692,320.0
27521,4170255.0,반송고등학교,37.1932167,127.07738329999998,251.0
28705,4108031.0,삼성반도체,37.2250833,127.064,248.0
29617,4100048.0,신창미션힐.송화초교,37.2033,127.03855,596.0
30126,4199074.0,동문아파트.협성대학교.봉담중고교,37.2174167,126.9524,189.0
30729,4170570.0,전하리교회.우미제일,37.21315,127.0792833,262.0
31038,4130128.0,진안동,37.2133667,127.04065,238.0
33091,4170281.0,산척리,37.1690833,127.08948329999998,181.0
34636,4170270.0,DM디스플레이,37.1656167,127.08775,182.0
