,이비카드정류장ID,정류장이름,위도,경도,횟수
724,4108037.0,신영통현대타운.두산위브,37.2353333,127.0621,725.0
1220,4116678.0,신일해피트리1차,37.2224667,126.97393329999998,214.0
1898,4108018.0,주공11단지.우남퍼스트빌2차,37.2155167,127.0451167,181.0
2250,4116674.0,와우2리,37.2159833,126.9763167,352.0
2464,4197591.0,롯데캐슬.복합문화센터,37.2012333,127.0707667,214.0
4011,4197593.0,IT단지(중),37.2252667,127.0734833,1503.0
4280,4131034.0,중심상가.화성고용센터,37.2161,126.9591167,269.0
4525,4197554.0,쌍용예가,37.1935,127.0718,245.0
5449,4170973.0,메타폴리스(중),37.2037,127.0675,880.0
5888,4107846.0,동탄역(동측),37.1996167,127.09626670000002,439.0
6464,4197464.0,다은마을(중),37.19995,127.06765,450.0
6724,4117233.0,삼성전자,37.2237333,127.0625833,260.0
7216,4108031.0,삼성반도체,37.2250833,127.064,492.0
7597,4197467.0,한빛마을(중),37.2075667,127.0692,381.0
8170,4199435.0,복합문화센터,37.2011167,127.0711,573.0
8725,4100048.0,신창미션힐.송화초교,37.2033,127.03855,555.0
8926,4116695.0,병점역후문,37.2069,127.03163329999998,201.0
9981,4100049.0,홈플러스.벌말초교,37.2033,127.03813329999998,495.0
10208,4170943.0,상록.경남아파트.이주택지,37.2068333,127.1105667,227.0
10531,4199361.0,능동마을입구,37.21755,127.0579,323.0
11887,4170977.0,한림대병원(중),37.21731670000001,127.07775,1215.0
12712,4108028.0,성지산업,37.2212667,127.0596833,196.0
12912,4130134.0,송산동입구,37.20585,127.0177833,200.0
13304,4151651.0,병점역사거리,37.2069167,127.0356333,392.0
14195,4100051.0,동부출장소.병점초등학교,37.2088,127.0344333,447.0
16060,4130123.0,삼성반도체후문,37.2276667,127.07068329999998,1604.0
16391,4170570.0,전하리교회.우미제일,37.21315,127.0792833,278.0
16598,4170407.0,센트럴파크,37.2080333,127.0639333,207.0
16979,4170271.0,병점사거리,37.2083833,127.0344333,381.0
17651,4197465.0,동탄2동행정복지센터,37.19715,127.0726,192.0
18065,4121008.0,이주택지.상록.경남아파트,37.2072167,127.1106833,414.0
18823,4100050.0,동탄1동행정복지센터,37.20685,127.07235,679.0
19112,4130128.0,진안동,37.2133667,127.04065,239.0
19557,4199077.0,동탄이마트.한림대병원,37.2140333,127.07793329999998,426.0
19732,4102894.0,남양사거리,37.2091667,126.81901670000002,175.0
21029,4117227.0,수원대학교,37.21375,126.98015,1031.0
21293,4116691.0,안녕농협삼거리,37.2052167,127.0147,247.0
21533,4170806.0,동탄역(서측),37.1995833,127.0960833,240.0
21848,4130059.0,모아.반도아파트,37.2020333,127.11445,190.0
22332,4170963.0,반월1통.빅마켓앞,37.2291833,127.06506670000002,350.0
23252,4197463.0,반석초등학교,37.1934,127.07746670000002,201.0
23667,4117306.0,동화휴먼시아2단지,37.2175,126.9598333,173.0
23876,4170942.0,반도.모아아파트,37.2019167,127.11415,191.0
24515,4108035.0,반월리큰고개,37.23255,127.0647833,565.0
25656,4130126.0,농서리,37.2306333,127.0681,247.0
26676,4120750.0,롯데시네마,37.21425,127.0426333,339.0
27968,4170976.0,예당마을.롯데캐슬(중),37.2116333,127.0728,588.0
28512,4170542.0,상록.테크노밸리.GS자이,37.2070167,127.0986,283.0
31198,4121766.0,한미약품.푸르지오,37.2092333,127.09185,462.0
31812,4170282.0,산척리,37.171,127.09,181.0
